boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same
73014444032,22193729481,10750087766,693553967,10750087748,10392690947,357396819,10404216739,345871027,10392690947,10392690947,0,357385305,11525775,345859530,11514,17,11497,10392690947,0,346390074,335218814,10868390,10517957,126841,122759,670516497,23037470,671260366,22293601,670516497,670516497,0,23036762,743868,22292894,708,1,707,670516497,0,22357664,21635791,675424,653548,3674,3555
73282879488,22275324070,10789610063,696103816,10789610191,10430898187,358711876,10442466245,347143818,10430898187,10430898187,0,358700329,11568041,347132288,11547,17,11530,10430898187,0,347663942,336451770,10908941,10557186,127446,123332,672981851,23121965,673728532,22375284,672981851,672981851,0,23121257,746680,22374577,708,1,707,672981851,0,22439675,21715066,677885,655933,3697,3578
73551314944,22356918646,10829132461,698653662,10829132523,10469106418,360026043,10480716828,348415633,10469106418,10469106418,0,360014458,11610393,348404065,11585,17,11568,10469106418,0,348936690,337683521,10949654,10596563,128114,123981,675446996,23206666,676196484,22457178,675446996,675446996,0,23205955,749487,22456468,711,1,710,675446996,0,22521767,21794444,680475,658430,3713,3594
73819750400,22438513268,10868654795,701203509,10868654964,10507314327,361340468,10518967019,349687776,10507314327,10507314327,0,361328829,11652675,349676154,11639,17,11622,10507314327,0,350209672,338915566,10990410,10635993,128747,124595,677912190,23291319,678664408,22539101,677912190,677912190,0,23290608,752217,22538391,711,1,710,677912190,0,22603893,21873914,682979,660861,3736,3616
74088185856,22520107883,10908177208,703753341,10908177334,10545523988,362653220,10557219338,350957870,10545523988,10545523988,0,362641534,11695333,350946201,11686,17,11669,10545523988,0,351481177,340145737,11030977,10675262,129380,125202,680377249,23376092,681132130,22621211,680377249,680377249,0,23375376,754880,22620496,716,1,715,680377249,0,22686133,21953569,685482,663287,3761,3640
74356621312,22601702440,10947699571,706303198,10947699671,10583730727,363968844,10595468705,352230866,10583730727,10583730727,0,363957125,11737961,352219164,11719,17,11702,10583730727,0,352755179,341378495,11071958,10714876,129988,125793,682842557,23460641,683600244,22702954,682842557,682842557,0,23459922,757686,22702236,719,1,718,682842557,0,22768099,22032821,688039,665752,3784,3663
74625056768,22683296956,10987221882,708853007,10987222067,10621938486,365283396,10633718817,353503065,10621938486,10621938486,0,365271623,11780314,353491309,11773,17,11756,10621938486,0,354028372,342610615,11112637,10754293,130614,126401,685307460,23545547,686067850,22785157,685307460,685307460,0,23544825,760389,22784436,722,1,721,685307460,0,22850409,22112497,690610,668254,3806,3685
74893492224,22764891635,11026744325,711402847,11026744463,10660146397,366597928,10671969305,354775020,10660146397,10660146397,0,366586095,11822891,354763204,11833,17,11816,10660146397,0,355301553,343842536,11153313,10793671,131229,126997,687773192,23629655,688536308,22866539,687773192,687773192,0,23628930,763115,22865815,725,1,724,687773192,0,22931812,22191272,693287,670834,3831,3709
75161927680,22846486291,11066266754,713952687,11066266850,10698354409,367912345,10710219862,356046892,10698354409,10698354409,0,367900476,11865436,356035040,11869,17,11852,10698354409,0,356574960,345074742,11193668,10832695,131848,127603,690238729,23713958,691004706,22947981,690238729,690238729,0,23713232,765976,22947256,726,1,725,690238729,0,23013407,22270110,695970,673415,3855,3731
75430363136,22928080855,11105789061,716502500,11105789294,10736561856,369227205,10748469981,357319080,10736561856,10736561856,0,369215303,11908108,357307195,11902,17,11885,10736561856,0,357848250,346306712,11234573,10872265,132480,128218,692703560,23798940,693472301,23030199,692703560,692703560,0,23798209,768740,23029469,731,1,730,692703560,0,23095758,22349779,698572,675936,3879,3754
