boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same
8321499136,2529432495,1212019773,105393025,1212019697,1157188933,54830840,1159572953,52446820,1157188933,1157188933,0,54826597,2384007,52442590,4243,13,4230,1157188933,0,52594512,50307482,2200392,2104750,31693,30358,0,0,100634957,4758068,100841897,4551128,100634957,100634957,0,4757742,206940,4550802,326,0,326,100634957,0,4574620,4375471,181973,174227,1149,1104,0,0
8589934592,2611027080,1251117145,108792810,1251117125,1194517350,56599795,1196978259,54138886,1194517350,1194517350,0,56595412,2460895,54134517,4383,14,4369,1194517350,0,54289125,51928427,2273155,2174357,33132,31733,0,0,103881055,4911755,104094726,4698084,103881055,103881055,0,4911412,213671,4697741,343,0,343,103881055,0,4722035,4516426,188184,180169,1193,1146,0,0
8858370048,2692621746,1290214656,112192553,1290214537,1231843767,58370889,1234381837,55832819,1231843767,1231843767,0,58366357,2538054,55828303,4532,16,4516,1231843767,0,55985403,53550782,2346388,2244424,34566,33097,0,0,107127684,5064869,107348061,4844492,107127684,107127684,0,5064515,220377,4844138,354,0,354,107127684,0,4868700,4656655,194558,186277,1257,1206,0,0
9126805504,2774216208,1329311923,115592359,1329311926,1269170676,60141247,1271785674,57526249,1269170676,1269170676,0,60136574,2614982,57521592,4673,16,4657,1269170676,0,57681242,55172866,2419291,2314209,36041,34517,0,0,110373975,5218384,110601135,4991224,110373975,110373975,0,5218019,227160,4990859,365,0,365,110373975,0,5015969,4797422,200741,192181,1309,1256,0,0
9395240960,2855810709,1368409329,118992134,1368409246,1306497140,61912189,1309188767,59220562,1306497140,1306497140,0,61907404,2691611,59215793,4785,16,4769,1306497140,0,59378388,56796702,2491546,2383206,37470,35885,0,0,113619947,5372187,113853640,5138494,113619947,113619947,0,5371813,233693,5138120,374,0,374,113619947,0,5163522,4938702,206902,198086,1389,1332,0,0
9663676416,2937405376,1407506817,122391860,1407506699,1343824954,63681863,1346592878,60913939,1343824954,1343824954,0,63676948,2767908,60909040,4915,16,4899,1343824954,0,61073837,58419154,2564198,2452617,38913,37269,0,0,116865564,5526296,117106011,5285849,116865564,116865564,0,5525909,240447,5285462,387,0,387,116865564,0,5311279,5079975,213160,204076,1470,1411,0,0
9932111872,3018999942,1446604188,125791697,1446604057,1381151874,65452314,1383996943,62607245,1381151874,1381151874,0,65447250,2845053,62602197,5064,16,5048,1381151874,0,62769886,60041231,2636968,2522279,40396,38687,0,0,120111806,5679891,120358822,5432875,120111806,120111806,0,5679489,247016,5432473,402,0,402,120111806,0,5458660,5221062,219279,209925,1550,1486,0,0
10200547328,3100594579,1485701563,129191452,1485701564,1418478006,67223557,1421400083,64301480,1418478006,1418478006,0,67218360,2922061,64296299,5197,16,5181,1418478006,0,64466768,61664323,2709684,2591838,41908,40138,0,0,123358084,5833368,123611780,5579672,123358084,123358084,0,5832954,253696,5579258,414,0,414,123358084,0,5605834,5361816,225503,215890,1617,1552,0,0
10468982784,3182189198,1524798934,132591174,1524799090,1455803973,68994961,1458802988,65995946,1455803973,1455803973,0,68989631,2998999,65990632,5330,16,5314,1455803973,0,66163286,63287239,2782930,2661799,43415,41594,0,0,126604475,5986699,126864845,5726329,126604475,126604475,0,5986274,260370,5725904,425,0,425,126604475,0,5752912,5502491,231669,221791,1693,1622,0,0
10737418240,3263783621,1563896280,135990958,1563896383,1493131844,70764436,1496207830,67688450,1493131844,1493131844,0,70758967,3075969,67682998,5469,17,5452,1493131844,0,67858145,64908265,2855819,2731616,45003,43117,0,0,129850668,6140290,130117723,5873235,129850668,129850668,0,6139859,267055,5872804,431,0,431,129850668,0,5900247,5643419,237861,227707,1751,1678,0,0
